8/12/12,3:00 PM,Eastern Illinois (Ex.),H,3
8/18/12,4:00 PM,Michiagn (Ex.),A,3
8/24/12,5:00 PM,Indiana,A,3
8/26/12,1:00 PM,Drake,A,3
8/30/12,7:00 PM,St. Francis (Pa.),H,3
9/2/12,7:00 PM,Xavier,A,3
9/7/12,6:00 PM,Bradley,A,3
9/9/12,3:30 PM,Evansville,A,3
9/14/12,7:30 PM,Towson,H,3
9/16/12,1:00 PM,Gardner Webb,H,3
9/22/12,7:00 PM,Pittsburgh,A,3
9/26/12,7:00 PM,Cleveland State,H,3
9/29/12,7:00 PM,Syracuse,H,3
10/3/12,7:00 PM,South Florida,H,3
10/6/12,7:30 PM,St. John\'s,A,3
10/10/12,7:00 PM,Western Michigan ,H,3
10/13/12,1:00 PM,Villanova,A,3
10/17/12,1:00 PM,DePaul,A,3
10/20/12,7:00 PM,Rutgers,H,3
10/27/12,7:00 PM,Louisville,H,3
10/28/12,TBA,BIG EAST Tournament,A,3
10/31/12,TBA,BIG EAST Tournament,A,3
11/3/12,TBA,BIG EAST Tournament,A,3
11/9/12,TBA,BIG EAST Tournament,A,3
11/11/12,TBA,BIG EAST Tournament,A,3
8/24/12,5:00 PM,Iowa State,A,2
8/25/12,10:00 AM,Tennessee,A,2
8/25/12,5:00 PM,Florida State,A,2
8/31/12,7:00 PM,New Mexico State,A,2
9/1/12,10:00 AM,Northwestern,A,2
9/1/12,4:30 PM,Drake,A,2
9/4/12,6:30 PM,Western Kentucky,H,2
9/7/12,7:00 PM,Illinois,H,2,,,
9/8/12,7:00 PM,Purdue,H,2,,,
9/14/12,3:30 PM,Central Flordia,A,2,,,
9/15/12,12:00 PM,Texas,A,2,,,
9/15/12,5:00 PM,Illinois,A,2,,,
9/22/12,1:00 PM,Notre Dame,H,2,,,
9/23/12,1:00 PM,DePaul,H,2,,,
9/28/12,TBD,Pittsburgh,A,2,,,
9/30/12,TBD,South Florida,A,2,,,
10/3/12,7:00 PM,Xavier,A,2,,,
10/6/12,1:00 PM,Rutgers,H,2,,,
10/7/12,1:00 PM,Seton Hall,H,2,,,
10/12/12,4:00 PM,Uconn,A,2,,,Everybody knows
10/14/12,TBD,St. John\'s,A,2,,,
10/19/12,7:00 PM,Marquette,A,2,,,
10/27/12,1:00 PM,Louisville,H,2,,,
10/31/12,7:00 PM,Dayton,A,2
11/2/12,7:00 PM,Georgetown,H,2
11/4/12,1:00 PM,Villanova,H,2
11/9/12,TBD,Notre Dame,A,2
11/11/12,12:00 PM,Louisville,A,2
11/16/12,TBD,BIG EAST Tournament,A,2
11/24/12,4:00 PM,Miami (OH),A,2
8/17/12,7:00 PM,Elon,A,4
8/19/12,1:00 PM,N.C. State,A,4
8/26/12,1:00 PM,Northeastern,H,4
8/31/12,7:00 PM,Eastern Kentucky,H,4
9/2/12,1:00 PM,Nebraska,H,4
9/7/12,4:30 PM,UC Irvine,A,4
9/9/12,11:00 AM,Colorado,A,4
9/14/12,5:00 PM,DePaul,H,4
9/16/12,1:00 PM,Notre Dame,A,4
9/21/12,7:00 PM,St. John\'s,H,4
9/23/12,1:00 PM,Syracuse,H,4
9/28/12,7:30 PM,South Florida,A,4
9/30/12,1:00 PM,Marquette,A,4
10/5/12,7:00 PM,Georgetown,H,4
10/7/12,1:00 PM,Villanova,H,4
10/12/12,7:00 PM,Seton Hall,A,4
10/14/12,1:00 PM,Rutgers,A,4
10/19/12,7:00 PM,Louisville,A,4
10/26/12,TBD,BIG EAST Tournament,A,4
10/30/12,TBD,BIG EAST Tournament,A,4
11/4/12,TBD,BIG EAST Tournament,A,4
11/6/12,TBD,BIG EAST Tournament,A,4
9/6/12,8:00 PM,Pittsburgh,H,5
9/15/12,TBA,Delaware State,H,5
9/29/12,TBA,Virginia Tech,A,5
10/6/12,TBA,Miami (OH),H,5
10/13/12,TBA,Fordham,H,5
10/20/12,TBA,Toledo,A,5
10/26/12,8:00 PM,Louisville,A,5
11/3/12,TBA,Syracuse,H,5
11/10/12,TBA,Temple,A,5
11/17/12,TBA,Rutgers,H,5
11/23/12,TBA,South Florida,H,5
12/1/12,TBA,Connecticut,A,5
10/29/12,7:00 PM,Grand Valley State (EXH.),H,1
