SUBJECT,Start Date,Start Time,Description,Location
Men's Basketball,10/29/12,7:00 PM,Grand Valley State (EXH.),Fifth Third Arena
Men's Basketball,11/5/12,7:00 PM,Bellarmine (EXH.),Fifth Third Arena
Men's Basketball,11/11/12,TBA,UT Martin,Fifth Third Arena
Men's Basketball,11/13/12,TBA,Mississippi Valley State,Fifth Third Arena
Men's Basketball,11/18/12,TBA,North Carolina A&T,Fifth Third Arena
Men's Basketball,11/20/12,TBA,Campblell,Fifth Third Arena
Men's Basketball,11/23/12,6:30 PM,Iowa State,"Las Vegas, Nev."
Men's Basketball,11/24/12,8:00 PM,Oregon/UNLV,"Las Vegas, Nev."
Men's Basketball,12/1/12,3:00 PM,Alabama,Fifth Third Arena
Men's Basketball,12/6/12,TBA,Arkansas Little Rock,Fifth Third Arena
Men's Basketball,12/8/12,TBA,Maryland Eastern Shore,Fifth Third Arena
Men's Basketball,12/15/12,TBA,MBB at Marshall,"Charleston, W. Va. "
Men's Basketball,12/19/12,7:00 PM,Xavier,"Cincinnati, Ohio"
Men's Basketball,12/22/12,TBA,Wrigtht State,Fifth Third Arena
Men's Basketball,12/27/12,9:00 PM,New Mexico,Fifth Third Arena
Men's Basketball,12/31/12,12:00 PM,Pittsburgh,"Pittsburgh, Pa."
Men's Basketball,1/5/13,4:00 PM,St. John’s,Fifth Third Arena
Men's Basketball,1/7/13,7:00 PM,Notre Dame,Fifth Third Arena
Men's Basketball,1/12/13,10:00 PM,MBB at Rutgers,"Piscataway, N.J."
Men's Basketball,1/15/13,8:30 PM,MBB at DePaul,"Chicago, Ill."
Men's Basketball,1/19/13,5:00 PM,Marquette,Fifth Third Arena
Men's Basketball,1/21/13,3:30 PM,MBB at Syracuse,"Syracuse, N.Y."
Men's Basketball,1/30/13,7:00 PM,Rutgers,Fifth Third Arena
Men's Basketball,2/2/13,11:00 AM,Seton Hall,"South Orange, N.J."
Men's Basketball,2/6/13,7:00 PM,Providence,"Providence, R.I."
Men's Basketball,2/9/13,TBD,Pittsburgh,Fifth Third Arena
Men's Basketball,2/12/13,8:00 PM,Villanova,Fifth Third Arena
Men's Basketball,2/15/13,9:00 PM,Georgetown,Fifth Third Arena
Men's Basketball,2/21/13,7:00 PM,MBB at Uconn,"Hartford, Conn."
Men's Basketball,2/24/13,2:00 PM,MBB at Notre Dame,"South Bend, Ind."
Men's Basketball,3/2/13,2:00 PM,Uconn,Fifth Third Arena
Men's Basketball,3/4/13,7:00 PM,MBB at Louisville,"Louisville, Ky."
Men's Basketball,3/9/13,4:00 PM,USF,Fifth Third Arena
Men's Basketball,3/12/13,TBA,BIG EAST First Round,"New York, N.Y."
Men's Basketball,3/13/13,TBA,BIG EAST Second Round,"New York, N.Y."
Men's Basketball,3/14/13,TBA,BIG EAST Quarterfinal,"New York, N.Y."
Men's Basketball,3/15/13,TBA,BIG EAST Semifinal,"New York, N.Y."
Men's Basketball,3/16/13,TBA,BIG EAST Final,"New York, N.Y."
