START DATE,START TIME,SUBJECT,LOCATION,END DATE,END TIME,TV,
10/29/2012,7:00 PM,MBB vs. Grand Valley State (EXH.),Fifth Third Arena,10/29/2012,9:00 PM,GoBEARCATS.COM,
11/5/2012,7:00 PM,MBB vs. Bellarmine (EXH.),Fifth Third Arena,11/5/2012,9:00 PM,GoBEARCATS.COM,
11/11/2012,TBA,MBB vs. UT Martin,Fifth Third Arena,11/11/2012,TBA,TBA,
11/13/2012,TBA,MBB vs. Mississippi Valley State,Fifth Third Arena,11/13/2012,TBA,TBA,
11/18/2012,TBA,MBB vs. North Carolina A&T,Fifth Third Arena,11/18/2012,TBA,TBA,
11/20/2012,TBA,MBB vs. Campblell,Fifth Third Arena,11/20/2012,TBA,TBA,
11/23/2012,6:30 PM,MBB vs. Iowa State,"Las Vegas, Nev.",11/23/2012,8:30 PM,TBA,
11/24/2012,8:00 PM,MBB vs. Oregon/UNLV,"Las Vegas, Nev.",11/24/2012,10:00 PM,TBA,
12/1/2012,3:00 PM,MBB vs. Alabama,Fifth Third Arena,12/1/2012,5:00 PM,ESPN2,
12/6/2012,TBA,MBB vs. Arkansas Little Rock,Fifth Third Arena,12/6/2012,TBA,TBA,
12/8/2012,TBA,MBB vs. Maryland Eastern Shore,Fifth Third Arena,12/8/2012,TBA,TBA,
12/15/2012,TBA,MBB at Marshall,"Charleston, W. Va. ",12/15/2012,TBA,TBA,
12/19/2012,7:00 PM,MBB vs. Xavier,"Cincinnati, Ohio",12/19/2012,9:00 PM,ESPN2,
12/22/2012,TBA,MBB vs. Wrigtht State,Fifth Third Arena,12/22/2012,TBA,TBA,
12/27/2012,9:00 PM,MBB vs. New Mexico,Fifth Third Arena,12/27/2012,11:00 PM,ESPN2,
12/31/2012,12:00 PM,MBB at Pittsburgh,"Pittsburgh, Pa.",12/31/2012,2:00 PM,ESPN2,
1/5/2013,4:00 PM,MBB vs. St. John’s,Fifth Third Arena,1/5/2013,6:00 PM,ESPNU,`
1/7/2013,7:00 PM,MBB vs. Notre Dame,Fifth Third Arena,1/7/2013,9:00 PM,ESPN2,
1/12/2013,10:00 PM,MBB at Rutgers,"Piscataway, N.J.",1/12/2013,8:00 PM,BEN/FSO,
1/15/2013,8:30 PM,MBB at DePaul,"Chicago, Ill.",1/15/2013,10:30 PM,ERT,
1/19/2013,5:00 PM,MBB vs. Marquette,Fifth Third Arena,1/19/2013,7:00 PM,ESPNU,
1/21/2013,3:30 PM,MBB at Syracuse,"Syracuse, N.Y.",1/21/2013,5:30 PM,ESPN,
1/30/2013,7:00 PM,MBB vs. Rutgers,Fifth Third Arena,1/30/2013,9:00 PM,ERT,
2/2/2013,11:00 AM,MBB at Seton Hall,"South Orange, N.J.",2/2/2013,1:00 PM,ESPNU,
2/6/2013,7:00 PM,MBB at Providence,"Providence, R.I.",2/6/2013,9:00 PM,BEN/FSO,
2/9/2013,TBD,MBB vs. Pittsburgh,Fifth Third Arena,2/9/2013,TBD,ESPN or ESPN 2,
2/12/2013,8:00 PM,MBB vs. Villanova,Fifth Third Arena,2/12/2013,10:00 PM,BEN/FSO,
2/15/2013,9:00 PM,MBB vs. Georgetown,Fifth Third Arena,2/15/2013,11:00 PM,ESPN,
2/21/2013,7:00 PM,MBB at Uconn,"Hartford, Conn.",2/21/2013,9:00 PM,ESPN or ESPN 2,
2/24/2013,2:00 PM,MBB at Notre Dame,"South Bend, Ind.",2/24/2013,4:00 PM,CBS,
3/2/2013,2:00 PM,MBB vs. Uconn,Fifth Third Arena,3/2/2013,4:00 PM,BEN/FSO,
3/4/2013,7:00 PM,MBB at Louisville,"Louisville, Ky.",3/4/2013,9:00 PM,ESPN,
3/9/2013,4:00 PM,MBB vs. USF,Fifth Third Arena,3/9/2013,6:00 PM,ERT,
3/12/2013,TBA,BIG EAST First Round,"New York, N.Y.",3/12/2013,TBA,ESPN,
3/13/2013,TBA,BIG EAST Second Round,"New York, N.Y.",3/13/2013,TBA,ESPN,
3/14/2013,TBA,BIG EAST Quarterfinal,"New York, N.Y.",3/14/2013,TBA,ESPN,
3/15/2013,TBA,BIG EAST Semifinal,"New York, N.Y.",3/15/2013,TBA,ESPN,
3/16/2013,TBA,BIG EAST Final,"New York, N.Y.",3/16/2013,TBA,ESPN,
