START DATE,START TIME,SUBJECT,LOCATION,END DATE,END TIME
11/4/2012,7:00 PM,WBB vs. Kentucky Wesleyan (EXH.),Fifth Third Arena,11/4/2012,9:00 PM
11/9/2012,7:00 PM,WBB vs. Northern Kentucky,Fifth Third Arena,11/9/2012,9:00 PM
11/14/2012,7:00 PM,WBB at Ohio State,"Columbus, Ohio",11/14/2012,9:00 PM
11/19/2012,7:00 PM,WBB at Kent State,"Kent, Ohio",11/19/2012,9:00 PM
11/25/2012,2:00 PM,WBB vs. College of Charleston,Fifth Third Arena,11/25/2012,4:00 PM
11/28/2012,7:00 PM,WBB vs. Morehead State,Fifth Third Arena,11/28/2012,9:00 PM
12/2/2012,2:00 PM,WBB vs. Xavier,Fifth Third Arena,12/2/2012,4:00 PM
12/5/2012,7:00 PM,WBB vs. Youngstown,Fifth Third Arena,12/5/2012,9:00 PM
12/9/2012,2:00 PM,WBB vs. Eastern Kentucky,Fifth Third Arena,12/9/2012,4:00 PM
12/15/2012,7:00 PM,WBB at Akron,"Akron, Ohio",12/15/2012,11:00 PM
12/21/2012,12:00 PM,WBB vs. Belmost,Fifth Third Arena,12/21/2012,2:00 PM
12/28/2012,10:30 PM,WBB vs. Alabama,"Honolulu, Hawaii",12/29/2012,12:30 AM
12/29/2012,11:00 PM,WBB at Hawaii,"Honolulu, Hawaii",12/30/2012,1:00 AM
12/30/2012,8:30 PM,WBB vs. Long Island,"Honolulu, Hawaii",12/30/2012,10:30 PM
1/6/2013,2:00 PM,WBB vs. Villanova,Fifth Third Arena,1/6/2013,4:00 PM
1/9/2013,7:00 PM,WBB vs. Seton Hall,Fifth Third Arena,1/9/2013,9:00 PM
1/15/2013,TBA,WBB at USF,"Tampa, Fla.",1/15/2013,TBA
1/18/2013,TBA,WBB at Louisville,"Louisville, Ky.",1/18/2013,TBA
1/22/2013,7:00 PM,WBB vs. DePaul,Fifth Third Arena,1/22/2013,9:00 PM
1/26/2013,8:00 PM,WBB vs. Connecticut,Fifth Third Arena,1/26/2013,10:00 PM
1/29/2013,TBA,WBB at Georgetown,"Washington, D.C.",1/29/2013,TBA
2/2/2013,TBA,WBB at Notre Dame,"South Bend, Ind.",2/2/2013,TBA
2/5/2013,7:00 PM,WBB vs. Syracuse,Fifth Third Arena,2/5/2013,9:00 PM
2/9/2013,6:00 PM,WBB at Rutgers (BIG EAST TV),"Piscatawy, N.J",2/9/2013,8:00 PM
2/17/2013,5:00 PM,WBB vs. Marquette,"Queens, N.Y.",2/17/2013,7:00 PM
2/20/2013,TBA,WBB at St. John's (ESPN2),"Pittsburgh, Pa.",2/20/2013,TBA
2/23/2013,2:00 PM,WBB vs. Providence,Fifth Third Arena,2/23/2013,4:00 PM
3/2/2013,5:00 PM,WBB vs. Rutgers,Fifth Third Arena,3/2/2013,7:00 PM
3/4/2013,4:00 PM,WBB at  Marquette,"Milwaukee, Wisc.",3/4/2013,6:00 PM
3/8/2013,TBA,WBB vs. BIG EAST Championship,"Hartford, Conn.",3/12/2013,TBA
,,,,,
,,,,,
